id,first_name,last_name,password,position,salary,role
111111,Amir,Bernstein,111111,manager,15000,employee
222222,Hen,Biton,222222,customer,n/a,customer
333333,Anna,Lebid,333222,customer,n/a,customer
1,0,0,0,0,0
1,0,0,0,0,0
666666,Omer,Adam,666222,customer,n/a,customer
281111, Daniel, Leffiz,101010, manager,20000, employee
281111, Daniel, Leffiz,101010, manager,20000, employee
281111, Daniel, Leffiz,101010, manager,20000, employee
1001000, Daniel, Leffiz,101010, manager,20000, employee
1001000, Daniel, Leffiz,101010, manager,20000, employee
1001000, Daniel, Leffiz,101010, manager,20000, employee
